date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,8,,7.0,0,
2020-02-16,8,0.0,7.0,0,
2020-02-17,8,0.0,7.0,0,
2020-02-18,8,0.0,7.0,0,
2020-02-19,8,0.0,7.0,0,
2020-02-20,8,0.0,6.0,0,0.0
2020-02-21,9,1.0,6.0,0,0.0
2020-02-22,9,0.0,6.0,0,0.0
2020-02-23,10,1.0,7.0,0,0.0
2020-02-24,11,1.0,8.0,0,0.0
2020-02-25,11,0.0,8.0,0,0.0
2020-02-26,12,1.0,9.0,0,0.0
2020-02-27,14,2.0,11.0,0,0.0
2020-02-28,15,1.0,12.0,0,0.0
2020-02-29,20,5.0,16.0,0,0.0
2020-03-01,24,4.0,20.0,0,0.0
2020-03-02,27,3.0,20.0,0,0.0
2020-03-03,30,3.0,23.0,0,0.0
2020-03-04,34,4.0,27.0,0,0.0
2020-03-05,37,3.0,29.0,0,0.0
2020-03-06,54,17.0,46.0,0,0.0
2020-03-07,60,6.0,52.0,0,0.0
2020-03-08,66,6.0,58.0,0,0.0
2020-03-09,77,11.0,68.0,1,1.0
2020-03-10,95,18.0,86.0,1,0.0
2020-03-11,110,15.0,100.0,1,0.0
2020-03-12,142,32.0,130.0,1,0.0
2020-03-13,198,56.0,186.0,1,0.0
2020-03-14,252,54.0,240.0,1,0.0
2020-03-15,341,89.0,329.0,1,0.0
2020-03-16,441,100.0,426.0,4,3.0
2020-03-17,598,157.0,578.0,8,4.0
2020-03-18,727,129.0,706.0,9,1.0
2020-03-19,873,146.0,850.0,12,3.0
2020-03-20,1087,214.0,1061.0,12,0.0
2020-03-21,1328,241.0,1295.0,19,7.0
2020-03-22,1470,142.0,1436.0,20,1.0
2020-03-23,2091,621.0,1747.0,24,4.0
2020-03-24,2792,701.0,2654.0,26,2.0
2020-03-25,3409,617.0,3188.0,36,10.0
2020-03-26,4043,634.0,3776.0,39,3.0
2020-03-27,4757,714.0,4348.0,55,16.0
2020-03-28,5655,898.0,5199.0,60,5.0
2020-03-29,6320,665.0,5682.0,65,5.0
2020-03-30,7448,1128.0,6266.0,89,24.0
2020-03-31,8612,1164.0,7269.0,101,12.0
2020-04-01,9731,1119.0,7881.0,114,13.0
2020-04-02,11283,1552.0,9131.0,173,59.0
2020-04-03,12375,1092.0,9981.0,208,35.0
2020-04-04,13912,1537.0,11086.0,231,23.0
2020-04-05,15512,1600.0,12290.0,280,49.0
2020-04-06,16667,1155.0,12728.0,323,43.0
2020-04-07,17897,1230.0,13488.0,381,58.0
2020-04-08,19438,1541.0,14463.0,427,46.0
2020-04-09,20765,1327.0,14945.0,509,82.0
2020-04-10,22148,1383.0,15566.0,569,60.0
2020-04-11,23318,1170.0,16237.0,653,84.0
2020-04-12,24383,1065.0,16494.0,717,64.0
2020-04-13,25680,1297.0,17144.0,780,63.0
2020-04-14,27063,1383.0,17925.0,903,123.0
2020-04-15,28379,1316.0,18390.0,1010,107.0
2020-04-16,30106,1727.0,19182.0,1195,185.0
2020-04-17,31927,1821.0,20074.0,1310,115.0
2020-04-18,33383,1456.0,20706.0,1470,160.0
2020-04-19,35056,1673.0,21626.0,1587,117.0
2020-04-20,36829,1773.0,22553.0,1690,103.0
2020-04-21,38422,1593.0,23400.0,1834,144.0
2020-04-22,40190,1768.0,24230.0,1974,140.0
2020-04-23,42110,1920.0,25202.0,2147,173.0
2020-04-24,43888,1778.0,26117.0,2302,155.0
2020-04-25,45354,1466.0,26464.0,2465,163.0
2020-04-26,46895,1541.0,27014.0,2560,95.0
2020-04-27,48500,1605.0,27525.0,2707,147.0
2020-04-28,50026,1526.0,27977.0,2859,152.0
2020-04-29,51597,1571.0,28274.0,2996,137.0
2020-04-30,53236,1639.0,28629.0,3184,188.0
2020-05-01,55061,1825.0,28919.0,3391,207.0
2020-05-02,56714,1653.0,29347.0,3566,175.0
2020-05-03,59474,2760.0,30884.0,3682,116.0
2020-05-04,60772,1298.0,30901.0,3854,172.0
2020-05-05,62046,1274.0,31010.0,4043,189.0
2020-05-06,63496,1450.0,31093.0,4232,189.0
2020-05-07,64922,1426.0,31542.0,4408,176.0
2020-05-08,66434,1512.0,31459.0,4569,161.0
2020-05-09,67702,1268.0,31760.0,4693,124.0
2020-05-10,68848,1146.0,31882.0,4870,177.0
2020-05-11,69981,1133.0,31994.0,4993,123.0
2020-05-12,71157,1176.0,31946.0,5169,176.0
2020-05-13,72278,1121.0,31812.0,5302,133.0
2020-05-14,73401,1123.0,31838.0,5472,170.0
2020-05-15,74613,1212.0,32156.0,5562,90.0
2020-05-16,75864,1251.0,32366.0,5679,117.0
2020-05-17,77002,1138.0,32670.0,5782,103.0
2020-05-18,78072,1070.0,33002.0,5842,60.0
2020-05-19,79112,1040.0,33150.0,5912,70.0
2020-05-20,80142,1030.0,33335.0,6031,119.0
2020-05-21,81324,1182.0,33457.0,6152,121.0
2020-05-22,82480,1156.0,33636.0,6250,98.0
2020-05-23,83621,1141.0,33961.0,6355,105.0
2020-05-24,84699,1078.0,34290.0,6424,69.0
2020-05-25,85711,1012.0,34528.0,6545,121.0
2020-05-26,86647,936.0,34669.0,6639,94.0
2020-05-27,87519,872.0,34590.0,6765,126.0
2020-05-28,88512,993.0,34795.0,6877,112.0
2020-05-29,89418,906.0,34921.0,6979,102.0
2020-05-30,90161,743.0,35038.0,7073,94.0
