date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,12,null,7,1,null
2020-02-16,12,0,7,1,0
2020-02-17,12,0,6,1,0
2020-02-18,12,0,4,1,0
2020-02-19,12,0,4,1,0
2020-02-20,12,0,4,1,0
2020-02-21,12,0,4,1,0
2020-02-22,12,0,1,1,0
2020-02-23,12,0,1,1,0
2020-02-24,12,0,0,1,0
2020-02-25,14,2,2,1,0
2020-02-26,18,4,5,2,1
2020-02-27,38,20,25,2,0
2020-02-28,57,19,44,2,0
2020-02-29,100,43,86,2,0
2020-03-01,130,30,116,2,0
2020-03-02,191,61,176,3,1
2020-03-03,212,21,196,4,1
2020-03-04,285,73,269,4,0
2020-03-05,423,138,404,7,3
2020-03-06,653,230,632,9,2
2020-03-07,949,296,921,16,7
2020-03-08,1209,260,1178,19,3
2020-03-09,1412,203,1370,30,11
2020-03-10,1784,372,1739,33,3
2020-03-11,2281,497,2221,48,15
2020-03-12,2876,595,2803,61,13
2020-03-13,3661,785,3570,79,18
2020-03-14,4499,838,4396,91,12
2020-03-15,5423,924,5284,127,36
2020-03-16,6633,1210,6473,148,21
2020-03-17,7730,1097,6953,175,27
2020-03-18,9134,1404,8268,264,89
2020-03-19,10995,1861,9328,372,108
2020-03-20,12612,1617,10575,450,78
2020-03-21,14459,1847,12310,562,112
2020-03-22,16018,1559,13144,674,112
2020-03-23,19856,3838,16796,860,186
2020-03-24,22304,2448,17923,1100,240
2020-03-25,25233,2929,20002,1331,231
2020-03-26,29155,3922,22511,1696,365
2020-03-27,32964,3809,25269,1995,299
2020-03-28,37575,4611,29561,2314,319
2020-03-29,40174,2599,30366,2606,292
2020-03-30,44550,4376,33599,3024,418
2020-03-31,52128,7578,39161,3523,499
2020-04-01,56989,4861,42022,4032,509
2020-04-02,59105,2116,41290,5387,1355
2020-04-03,76460,17355,55945,6507,1120
2020-04-04,83019,6559,60021,7560,1053
2020-04-05,87719,4700,63458,8078,518
2020-04-06,90452,2733,64291,8911,833
2020-04-07,99180,8728,69515,10328,1417
2020-04-08,103061,3881,70938,10869,541
2020-04-09,107696,4635,72280,12210,1341
2020-04-10,113927,6231,75798,13197,987
2020-04-11,118178,4251,77955,13832,635
2020-04-12,120633,2455,79054,14393,561
2020-04-13,124298,3665,81613,14967,574
2020-04-14,130253,5955,85719,15729,762
2020-04-15,133644,3391,85522,17167,1438
2020-04-16,140772,7128,90040,17920,753
2020-04-17,143116,2344,90015,18681,761
2020-04-18,146782,3666,91476,19323,642
2020-04-19,147844,1062,91548,19718,395
2020-04-20,150278,2434,92604,20265,547
2020-04-21,153531,3253,93554,20796,531
2020-04-22,155944,2413,93947,21340,544
2020-04-23,158183,2239,94239,21856,516
2020-04-24,159828,1645,94090,22245,389
2020-04-25,161488,1660,94280,22614,369
2020-04-26,162100,612,94341,22856,242
2020-04-27,163273,1173,94467,23293,437
2020-04-28,165911,2638,95365,23660,367
2020-04-29,166420,509,94105,24087,427
2020-04-30,167178,758,93326,24376,289
2020-05-01,167346,168,92540,24594,218
2020-05-02,168396,1050,93074,24760,166
2020-05-03,168693,297,93014,24895,135
2020-05-04,169462,769,92890,25201,306
2020-05-05,170551,1089,92284,25531,330
2020-05-06,174191,3640,94410,25809,278
2020-05-07,174791,600,93777,25987,178
2020-05-08,176079,1288,94067,26230,243
2020-05-09,176658,579,94310,26310,80
2020-05-10,176970,312,94373,26380,70
2020-05-11,177423,453,94056,26643,263
2020-05-12,178060,637,93284,26991,348
2020-05-13,178060,0,92313,27074,83
2020-05-14,178870,810,91840,27425,351
2020-05-15,179506,636,91529,27529,104
2020-05-16,179365,-141,90674,27625,96
2020-05-17,179569,204,90248,28108,483
2020-05-18,179927,358,89960,28239,131
2020-05-19,180809,882,90224,28022,-217
2020-05-20,181575,766,90089,28132,110
2020-05-21,181826,251,89753,28215,83
2020-05-22,182219,393,89721,28289,74
2020-05-23,182469,250,89590,28332,43
2020-05-24,182584,115,89600,28367,35
2020-05-25,182942,358,89311,28432,65
2020-05-26,182722,-220,88313,28530,98
2020-05-27,182913,191,87733,28596,66
2020-05-28,186238,3325,90385,28662,66
2020-05-29,186835,597,90318,28714,52
