date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,3,,3.0,0,
2020-02-16,3,0.0,3.0,0,
2020-02-17,3,0.0,3.0,0,
2020-02-18,3,0.0,3.0,0,
2020-02-19,3,0.0,3.0,0,
2020-02-20,4,1.0,4.0,0,0.0
2020-02-21,21,17.0,19.0,1,1.0
2020-02-22,79,58.0,75.0,2,1.0
2020-02-23,157,78.0,152.0,3,1.0
2020-02-24,229,72.0,221.0,7,4.0
2020-02-25,323,94.0,310.0,11,4.0
2020-02-26,470,147.0,455.0,12,1.0
2020-02-27,655,185.0,593.0,17,5.0
2020-02-28,889,234.0,822.0,21,4.0
2020-02-29,1128,239.0,1049.0,29,8.0
2020-03-01,1701,573.0,1577.0,41,12.0
2020-03-02,2036,335.0,1835.0,52,11.0
2020-03-03,2502,466.0,2263.0,79,27.0
2020-03-04,3089,587.0,2706.0,107,28.0
2020-03-05,3858,769.0,3296.0,148,41.0
2020-03-06,4636,778.0,3916.0,197,49.0
2020-03-07,5883,1247.0,5061.0,233,36.0
2020-03-08,7375,1492.0,6387.0,366,133.0
2020-03-09,9172,1797.0,7985.0,463,97.0
2020-03-10,10149,977.0,8514.0,631,168.0
2020-03-11,12462,2313.0,10590.0,827,196.0
2020-03-12,15113,2651.0,12839.0,1016,189.0
2020-03-13,17660,2547.0,14955.0,1266,250.0
2020-03-14,21157,3497.0,17750.0,1441,175.0
2020-03-15,24747,3590.0,20603.0,1809,368.0
2020-03-16,27980,3233.0,23073.0,2158,349.0
2020-03-17,31506,3526.0,26062.0,2503,345.0
2020-03-18,35713,4207.0,28710.0,2978,475.0
2020-03-19,41035,5322.0,33190.0,3405,427.0
2020-03-20,47021,5986.0,37860.0,4032,627.0
2020-03-21,53578,6557.0,42681.0,4825,793.0
2020-03-22,59138,5560.0,46638.0,5476,651.0
2020-03-23,63927,4789.0,50418.0,6077,601.0
2020-03-24,69176,5249.0,54030.0,6820,743.0
2020-03-25,74386,5210.0,57521.0,7503,683.0
2020-03-26,80589,6203.0,62013.0,8215,712.0
2020-03-27,86498,5909.0,66414.0,9134,919.0
2020-03-28,92472,5974.0,70065.0,10023,889.0
2020-03-29,97689,5217.0,73880.0,10779,756.0
2020-03-30,101739,4050.0,75528.0,11591,812.0
2020-03-31,105792,4053.0,77635.0,12428,837.0
2020-04-01,110574,4782.0,80572.0,13155,727.0
2020-04-02,115242,4668.0,83049.0,13915,760.0
2020-04-03,119827,4585.0,85388.0,14681,766.0
2020-04-04,124632,4805.0,88274.0,15362,681.0
2020-04-05,128948,4316.0,91246.0,15887,525.0
2020-04-06,132547,3599.0,93187.0,16523,636.0
2020-04-07,135586,3039.0,94067.0,17127,604.0
2020-04-08,139422,3836.0,95262.0,17669,542.0
2020-04-09,143626,4204.0,96877.0,18279,610.0
2020-04-10,147577,3951.0,98273.0,18849,570.0
2020-04-11,152271,4694.0,100269.0,19468,619.0
2020-04-12,156363,4092.0,102253.0,19899,431.0
2020-04-13,159516,3153.0,103616.0,20465,566.0
2020-04-14,162488,2972.0,104291.0,21067,602.0
2020-04-15,165155,2667.0,105418.0,21645,578.0
2020-04-16,168941,3786.0,106607.0,22170,525.0
2020-04-17,172434,3493.0,106962.0,22745,575.0
2020-04-18,175925,3491.0,107771.0,23227,482.0
2020-04-19,178972,3047.0,108257.0,23660,433.0
2020-04-20,181228,2256.0,108237.0,24114,454.0
2020-04-21,183957,2729.0,107709.0,24648,534.0
2020-04-22,187327,3370.0,107699.0,25085,437.0
2020-04-23,189973,2646.0,106848.0,25549,464.0
2020-04-24,192994,3021.0,106527.0,25969,420.0
2020-04-25,195351,2357.0,105847.0,26384,415.0
2020-04-26,197675,2324.0,106103.0,26644,260.0
2020-04-27,199414,1739.0,105813.0,26977,333.0
2020-04-28,201505,2091.0,105205.0,27359,382.0
2020-04-29,203591,2086.0,104657.0,27682,323.0
2020-04-30,205463,1872.0,101551.0,27967,285.0
2020-05-01,207428,1965.0,100943.0,28236,269.0
2020-05-02,209328,1900.0,100704.0,28710,474.0
2020-05-03,210717,1389.0,100179.0,28884,174.0
2020-05-04,211938,1221.0,99980.0,29079,195.0
2020-05-05,213013,1075.0,98467.0,29315,236.0
2020-05-06,214457,1444.0,91528.0,29684,369.0
2020-05-07,215858,1401.0,89624.0,29958,274.0
2020-05-08,217185,1327.0,87961.0,30201,243.0
2020-05-09,218268,1083.0,84842.0,30395,194.0
2020-05-10,219070,802.0,83324.0,30560,165.0
2020-05-11,219814,744.0,82488.0,30739,179.0
2020-05-12,221216,1402.0,81266.0,30911,172.0
2020-05-13,222104,888.0,78457.0,31106,195.0
2020-05-14,223096,992.0,76440.0,31368,262.0
2020-05-15,223885,789.0,72070.0,31610,242.0
2020-05-16,224760,875.0,70187.0,31763,153.0
2020-05-17,225435,675.0,68351.0,31908,145.0
2020-05-18,225886,451.0,66553.0,32007,99.0
2020-05-19,226699,813.0,65129.0,32169,162.0
2020-05-20,227364,665.0,62752.0,32330,161.0
2020-05-21,228006,642.0,60960.0,32486,156.0
2020-05-22,228658,652.0,59322.0,32616,130.0
2020-05-23,229327,669.0,57752.0,32735,119.0
2020-05-24,229858,531.0,56594.0,32785,50.0
2020-05-25,230158,300.0,55300.0,32877,92.0
2020-05-26,230555,397.0,52942.0,32955,78.0
2020-05-27,231139,584.0,50966.0,33072,117.0
2020-05-28,231732,593.0,47986.0,33142,70.0
2020-05-29,232248,516.0,46175.0,33229,87.0
2020-05-30,232664,416.0,43691.0,33340,111.0
