date,total_cases,daily_cases,active_cases,total_deaths,daily_deaths
2020-02-15,0,,0.0,0,
2020-02-16,0,,0.0,0,
2020-02-17,0,,0.0,0,
2020-02-18,0,,0.0,0,
2020-02-19,0,,0.0,0,
2020-02-20,0,,0.0,0,
2020-02-21,0,,0.0,0,
2020-02-22,0,,0.0,0,
2020-02-23,0,,0.0,0,
2020-02-24,0,,0.0,0,
2020-02-25,0,,0.0,0,
2020-02-26,0,,0.0,0,
2020-02-27,0,,0.0,0,
2020-02-28,0,,0.0,0,
2020-02-29,0,,0.0,0,
2020-03-01,0,,0.0,0,
2020-03-02,0,,0.0,0,
2020-03-03,0,,0.0,0,
2020-03-04,0,,0.0,0,
2020-03-05,0,,0.0,0,
2020-03-06,0,,0.0,0,
2020-03-07,0,,0.0,0,
2020-03-08,0,,0.0,0,
2020-03-09,0,,0.0,0,
2020-03-10,1,,1.0,0,
2020-03-11,1,0.0,1.0,0,
2020-03-12,1,0.0,1.0,0,
2020-03-13,5,4.0,5.0,0,
2020-03-14,6,1.0,6.0,0,
2020-03-15,18,12.0,18.0,0,
2020-03-16,47,29.0,47.0,0,
2020-03-17,98,51.0,97.0,1,
2020-03-18,191,93.0,189.0,2,1.0
2020-03-19,359,168.0,355.0,4,2.0
2020-03-20,670,311.0,661.0,9,5.0
2020-03-21,947,277.0,926.0,21,12.0
2020-03-22,1236,289.0,1206.0,30,9.0
2020-03-23,1529,293.0,1492.0,37,7.0
2020-03-24,1872,343.0,1828.0,44,7.0
2020-03-25,2433,561.0,2348.0,59,15.0
2020-03-26,3629,1196.0,3528.0,75,16.0
2020-03-27,5698,2069.0,5564.0,92,17.0
2020-03-28,7402,1704.0,7224.0,108,16.0
2020-03-29,9217,1815.0,8981.0,131,23.0
2020-03-30,10827,1610.0,10497.0,168,37.0
2020-03-31,13531,2704.0,13074.0,214,46.0
2020-04-01,15679,2148.0,15069.0,277,63.0
2020-04-02,18135,2456.0,17364.0,356,79.0
2020-04-03,20921,2786.0,20012.0,425,69.0
2020-04-04,23934,3013.0,22647.0,501,76.0
2020-04-05,27069,3135.0,25453.0,574,73.0
2020-04-06,30217,3148.0,28242.0,649,75.0
2020-04-07,34109,3892.0,31802.0,725,76.0
2020-04-08,38226,4117.0,35568.0,812,87.0
2020-04-09,42282,4056.0,39232.0,908,96.0
2020-04-10,47029,4747.0,43600.0,1006,98.0
2020-04-11,52167,5138.0,48101.0,1101,95.0
2020-04-12,56956,4789.0,52312.0,1198,97.0
2020-04-13,61049,4093.0,55796.0,1296,98.0
2020-04-14,65111,4062.0,58909.0,1403,107.0
2020-04-15,69392,4281.0,62200.0,1518,115.0
2020-04-16,74193,4801.0,65461.0,1643,125.0
2020-04-17,78546,4353.0,68146.0,1769,126.0
2020-04-18,82329,3783.0,69986.0,1890,121.0
2020-04-19,86306,3977.0,72313.0,2017,127.0
2020-04-20,90980,4674.0,75410.0,2140,123.0
2020-04-21,95591,4611.0,78414.0,2259,119.0
2020-04-22,98674,3083.0,79821.0,2376,117.0
2020-04-23,101790,3116.0,80808.0,2491,115.0
2020-04-24,104912,3122.0,80575.0,2600,109.0
2020-04-25,107773,2861.0,79485.0,2706,106.0
2020-04-26,110130,2357.0,78185.0,2805,99.0
2020-04-27,112261,2131.0,75570.0,2900,95.0
2020-04-28,114653,2392.0,72852.0,2992,92.0
2020-04-29,117589,2936.0,70468.0,3081,89.0
2020-04-30,120204,2615.0,68144.0,3174,93.0
2020-05-01,122392,2188.0,65326.0,3258,84.0
2020-05-02,124375,1983.0,62780.0,3336,78.0
2020-05-03,126045,1670.0,59497.0,3397,61.0
2020-05-04,127659,1614.0,56032.0,3461,64.0
2020-05-05,129491,1832.0,52686.0,3520,59.0
2020-05-06,131744,2253.0,49958.0,3584,64.0
2020-05-07,133721,1977.0,47096.0,3641,57.0
2020-05-08,135569,1848.0,45484.0,3689,48.0
2020-05-09,137115,1546.0,43896.0,3739,50.0
2020-05-10,138657,1542.0,42180.0,3786,47.0
2020-05-11,139771,1114.0,40150.0,3841,55.0
2020-05-12,141475,1704.0,38692.0,3894,53.0
2020-05-13,143114,1639.0,37447.0,3952,58.0
2020-05-14,144749,1635.0,36712.0,4007,55.0
2020-05-15,146457,1708.0,36269.0,4055,48.0
2020-05-16,148067,1610.0,35834.0,4096,41.0
2020-05-17,149435,1368.0,35333.0,4140,44.0
2020-05-18,150593,1158.0,34845.0,4171,31.0
2020-05-19,151615,1022.0,34521.0,4199,28.0
2020-05-20,152587,972.0,34378.0,4222,23.0
2020-05-21,153548,961.0,34309.0,4249,27.0
2020-05-22,154500,952.0,34113.0,4276,27.0
2020-05-23,155686,1186.0,33776.0,4308,32.0
2020-05-24,156827,1141.0,33793.0,4340,32.0
2020-05-25,157814,987.0,33430.0,4369,29.0
2020-05-26,158762,948.0,32858.0,4397,28.0
2020-05-27,159797,1035.0,32573.0,4431,34.0
2020-05-28,160979,1182.0,32149.0,4461,30.0
2020-05-29,162120,1141.0,31668.0,4489,28.0
2020-05-30,163103,983.0,31604.0,4515,26.0
